claim,evidence,label
"Girls' Generation is also known as SNSD, short for ""so new, so dance"".",,NEI
Malaysia contains thirteen states.,"It consists of thirteen states and three federal territories and has a total landmass of 330803 km2 separated by the South China Sea into two similarly sized regions , Peninsular Malaysia and East Malaysia -LRB- Malaysian Borneo -RRB- . Malaysian Malaysians federal federation thirteen states and three federal territories States and federal territories of Malaysia South China Sea South China Sea Peninsular Malaysia Peninsular Malaysia East Malaysia East Malaysia",SUPPORTS
Prisoner was on TV.,"The series , produced by the Reg Grundy Organisation , aired on Network Ten for 692 episodes between 27 February 1979 and 11 December 1986 . Reg Grundy Organisation Reg Grundy Organisation Network Ten Network Ten Network Ten -LRB- commonly known as Channel Ten or simply Ten , officially stylised as TEN -RRB- is an Australian commercial broadcasting network owned by Ten Network Holdings , and is headquartered in Pyrmont , New South Wales . Ten Network Holdings Ten Network Holdings",SUPPORTS
Stuart Sutcliffe was the only bass player of the Beatles.,"Manager Brian Epstein moulded them into a professional act , and producer George Martin guided and developed their recordings , greatly expanding their popularity in the United Kingdom after their first hit , `` Love Me Do '' , in late 1962 . Brian Epstein Brian Epstein George Martin George Martin Love Me Do Love Me Do Stuart Fergusson Victor Sutcliffe -LRB- 23 June 1940 -- 10 April 1962 -RRB- was a British painter and musician best known as the original bass guitarist for the Beatles . the Beatles the Beatles",REFUTES
Chris Evans moved to Paris.,,NEI
Keanu Reeves played bass guitar for the band Becky in 2001.,,SUPPORTS
Lucas was directed by Kermit the Frog.,The film was Winona Ryder 's screen debut . Winona Ryder Winona Ryder,REFUTES
John Lennon died before 1987.,"John Winston Ono Lennon , -LRB- born John Winston Lennon ; 9 October 19408 December 1980 -RRB- was an English guitarist , singer , and songwriter who co-founded the Beatles , the most commercially successful and musically influential band in the history of popular music . the Beatles the Beatles",SUPPORTS
Mark Zuckerberg is one of the most influential people in the world as of 2005.,,NEI
Unpredictable is the title of a work.,,NEI
Michelangelo sculpted.,"Michelangelo di Lodovico Buonarroti Simoni -LRB- -LSB- mikeˈlandʒelo di lodoˈviːko ˌbwɔnarˈrɔːti siˈmoːni -RSB- ; 6 March 1475 -- 18 February 1564 -RRB- was a Florentine sculptor , painter , architect , and poet of the High Renaissance who exerted an unparalleled influence on the development of Western art . High Renaissance High Renaissance Florentine Florence Western art Western art He sculpted two of his best-known works , the Pietà and David , before the age of thirty . David David (Michelangelo) Pietà Pietà (Michelangelo) Michelangelo transformed the plan so that the western end was finished to his design , as was the dome , with some modification , after his death .",SUPPORTS
Cadillac Records has Gabrielle Union in it.,"She co-starred in film The Birth of a Nation -LRB- 2016 -RRB- , and next appeared in Almost Christmas -LRB- 2016 -RRB- and Sleepless -LRB- 2017 -RRB- . The Birth of a Nation The Birth of a Nation (2016 film) Almost Christmas Almost Christmas (film) Sleepless Sleepless (2017 film)",SUPPORTS
Hayden Panettiere was born in the 1980s.,"Hayden Leslie Panettiere -LRB- born August 21 , 1989 -RRB- is an American actress , model , singer , and activist .",SUPPORTS
Ivan Lendl has played in a baseball game.,,NEI
Colin Quinn is exclusively Italian.,"Colin Edward Quinn -LRB- born June 6 , 1959 -RRB- is an American stand-up comedian , actor , and writer . American United States",REFUTES
Instant film was made by Polaroid.,,NEI
Formula One holds the Salem Grand Prix.,,NEI
German feature film is a division of Davis Entertainment.,"Davis Entertainment is an American independent film production company , founded by John Davis in 1984 . John Davis John Davis (producer) American United States independent film independent film production company production company",REFUTES
Timber is by an artist.,`` Timber '' is a song by American rapper Pitbull featuring American recording artist Kesha . Pitbull Pitbull (rapper) Kesha Kesha rapper rapping recording artist recording artist,SUPPORTS
Gabourey Sidibe made her acting debut in a 2006 film.,"Gabourey Sidibe -LRB- -LSB- ˈɡæbəˌreɪ_ˈsɪdɪˌbeɪ -RSB- ; born May 6 , 1983 -RRB- is an American actress who made her acting debut in the 2009 film Precious , a role that brought her a nomination for the Academy Award for Best Actress . Precious Precious (film) Academy Award for Best Actress Academy Award for Best Actress",REFUTES
Memento has an entirely Mexican-American cast.,"It stars Guy Pearce , Carrie-Anne Moss , and Joe Pantoliano . Guy Pearce Guy Pearce Carrie-Anne Moss Carrie-Anne Moss Joe Pantoliano Joe Pantoliano Guy Edward Pearce -LRB- born 5 October 1967 -RRB- is an Australian actor and musician . Carrie-Anne Moss -LRB- born August 21 , 1967 -RRB- is a Canadian actress . Joseph Peter `` Joe '' Pantoliano -LRB- born September 12 , 1951 -RRB- , is an American character actor , who often plays shady characters , frequently criminals or corrupt police officers . character actor character actor",REFUTES
Islam is the world's fourth-largest religion.,"It is the world 's second-largest religion and the fastest-growing major religion in the world , with over 1.8 billion followers or 24.1 % of the global population , known as Muslims . religion religion fastest-growing major religion in the world Growth of religion",REFUTES
Connie Britton was in a television show.,"In 2016 , Britton had a recurring role as socialite Faye Resnick in the first season of FX true crime anthology series American Crime Story . FX FX (channel) Faye Resnick Faye Resnick first season The People v. O.J. Simpson: American Crime Story American Crime Story American Crime Story Britton next starred in the comedy-drama film This Is Where I Leave You -LRB- 2014 -RRB- , the drama film Me and Earl and the Dying Girl -LRB- 2015 -RRB- and the action comedy American Ultra -LRB- 2015 -RRB- . This Is Where I Leave You This Is Where I Leave You Me and Earl and the Dying Girl Me and Earl and the Dying Girl (film) American Ultra American Ultra In 2014 , Britton was named UNDP Goodwill Ambassador .",SUPPORTS
"Sean Connery was a supporting actor, playing James Durran, in The Untouchables.",,NEI
Calvin Harris possesses nine top 10 entries on the UK Singles Chart.,He received the British Academy 's Ivor Novello Award for Songwriter of the Year in 2013 and at the 2015 Billboard Music Awards was named Top Dance/Electronic Artist . Ivor Novello Award Ivor Novello Award,SUPPORTS
Gianluigi Buffon won the Coppa Italia.,"After winning two more consecutive league titles in 2005 and 2006 , the club were later stripped of these titles and relegated due to their involvement in the 2006 Italian football scandal . 2006 Italian football scandal 2006 Italian football scandal 2006 2006 FIFA World Cup He was the starting goalkeeper of the Italian team that won the 2006 FIFA World Cup , which saw him keep a record five clean sheets , and concede only two goals , neither of which were in open play . FIFA World Cup FIFA World Cup goalkeeper Goalkeeper (association football) 2006 2006 FIFA World Cup 2006 FIFA World Cup 2006 FIFA World Cup",SUPPORTS
Christian Bale dated Melissa Leo.,,NEI
Marilyn Burns was an American citizen.,"Marilyn Burns ; -LRB- born Mary Lynn Ann Burns ; May 7 , 1949 -- August 5 , 2014 -RRB- was an American actress who became known for her role as Sally Hardesty in the Texas Chainsaw Massacre film series . Sally Hardesty Sally Hardesty",SUPPORTS
Popstar: Never Stop Never Stopping stars an actor.,"Popstar : Never Stop Never Stopping is a 2016 American mockumentary film directed by Akiva Schaffer and Jorma Taccone and written , produced by and starring Andy Samberg , Schaffer and Taccone . Akiva Schaffer Akiva Schaffer Jorma Taccone Jorma Taccone Andy Samberg Andy Samberg mockumentary mockumentary Andrew David Samberg -LRB- born David A. J. Samberg ; August 18 , 1978 -RRB- is an American actor , filmmaker , musician and comedian .",SUPPORTS
Ajab Prem Ki Ghazab Kahani is a 2005 film.,Ajab Prem Ki Ghazab Kahani -LRB- Unique Prem 's -LRB- Love 's -RRB- Amazing Story -RRB- is a 2009 Indian romantic comedy film . romantic comedy film romantic comedy,REFUTES
Alice is a reworking of a 1965 movie.,"The film is a loose reworking of Federico Fellini 's 1965 film Juliet of the Spirits . Federico Fellini Federico Fellini Juliet of the Spirits Juliet of the Spirits Juliet of the Spirits -LRB- Giulietta degli spiriti -RRB- is a 1965 Italian-French fantasy comedy-drama film directed by Federico Fellini and starring Giulietta Masina , Sandra Milo , Mario Pisu , Valentina Cortese , and Valeska Gert . Federico Fellini Federico Fellini Giulietta Masina Giulietta Masina Sandra Milo Sandra Milo Mario Pisu Mario Pisu Valentina Cortese Valentina Cortese Valeska Gert Valeska Gert fantasy Fantasy film comedy-drama comedy-drama",SUPPORTS
Vladimir Putin achieved success with 64% of the vote.,"In 2007 , he was the Time Person of the Year .",SUPPORTS
Romelu Lukaku is a member of the Premier League.,"Romelu Menama Lukaku -LRB- born 13 May 1993 -RRB- is a Belgian professional footballer who plays as a striker for Premier League club Everton and the Belgium national team . Everton Everton F.C. Belgium Belgium national football team footballer Association football striker Forward (association football)#Striker Premier League Premier League Belgium national team Belgium national football team He is one of only five players to score 50 Premier League goals before his 23rd birthday , and the first foreign player to score 80 before his 24th birthday . Premier League Premier League Lukaku made his senior international debut for Belgium in 2010 , and has since earned over 50 caps . Belgium Belgium national football team",SUPPORTS
Ben Whishaw was in London Spy.,"He is known for his stage role as Hamlet ; his roles in the television series Nathan Barley , Criminal Justice , The Hour and London Spy ; and film roles including Perfume : The Story of a Murderer -LRB- 2006 -RRB- , I 'm Not There -LRB- 2007 -RRB- , Bright Star -LRB- 2009 -RRB- , Brideshead Revisited -LRB- 2008 -RRB- , Cloud Atlas -LRB- 2012 -RRB- , The Lobster -LRB- 2015 -RRB- , Suffragette -LRB- 2015 -RRB- and The Danish Girl -LRB- 2015 -RRB- . Hamlet Hamlet#Hamlet as a character Nathan Barley Nathan Barley Criminal Justice Criminal Justice (TV series) The Hour The Hour (BBC TV series) London Spy London Spy Bright Star Bright Star (film) Brideshead Revisited Brideshead Revisited (film) Cloud Atlas Cloud Atlas (film) The Lobster The Lobster Suffragette Suffragette (film) The Danish Girl The Danish Girl (film)",SUPPORTS
Bam Margera is not an American.,"Brandon Cole `` Bam '' Margera -LRB- -LSB- mɑrˈdʒɛərə -RSB- or ; born September 28 , 1979 -RRB- is an American professional skateboarder , stunt performer , and television personality . skateboarder skateboarder stunt performer stunt performer",REFUTES
Brad Pitt is not an actor.,"William Bradley Pitt -LRB- born December 18 , 1963 -RRB- is an American actor and producer . He gave critically acclaimed performances in the crime thriller Seven and the science fiction film 12 Monkeys -LRB- both 1995 -RRB- , the latter earning him a Golden Globe Award for Best Supporting Actor and an Academy Award nomination . Academy Award Academy Award Seven Seven (1995 film) 12 Monkeys 12 Monkeys Golden Globe Award for Best Supporting Actor Golden Globe Award for Best Supporting Actor - Motion Picture Pitt starred in the cult film Fight Club -LRB- 1999 -RRB- and the heist film Ocean 's Eleven -LRB- 2001 -RRB- and its sequels , Ocean 's Twelve -LRB- 2004 -RRB- and Ocean 's Thirteen -LRB- 2007 -RRB- . Fight Club Fight Club His greatest commercial successes have been Troy -LRB- 2004 -RRB- , Mr. & Mrs. Smith -LRB- 2005 -RRB- , and World War Z -LRB- 2013 -RRB- . Troy Troy (film) Mr. & Mrs. Smith Mr. & Mrs. Smith (2005 film) World War Z World War Z (film) Pitt received his second and third Academy Award nominations for his leading performances in The Curious Case of Benjamin Button -LRB- 2008 -RRB- and Moneyball -LRB- 2011 -RRB- . Academy Award Academy Award The Curious Case of Benjamin Button The Curious Case of Benjamin Button (film) Moneyball Moneyball (film)",REFUTES
The creators of Spider-Man gave the character long arms.,,NEI
The Who toured in 1999.,"They are cited as an influence by hard rock , punk rock and mod bands , and their songs still receive regular exposure . hard rock hard rock rock Rock music punk rock punk rock",SUPPORTS
LeBron James appeared in a comedy drama.,,NEI
Akshay Kumar is one of the least-paid actors in the world.,,REFUTES
Neve Campbell had a starring role only in the third season of House of Cards.,"Campbell has also made guest appearances on several television series , such as Medium , Grey 's Anatomy and Mad Men , as well as a starring role in the fourth and fifth seasons of the critically acclaimed Netflix drama series House of Cards . Medium Medium (TV series) Mad Men Mad Men Netflix Netflix House of Cards House of Cards (U.S. TV series)",REFUTES
Felicity Huffman gained attention for her role in the comedy-drama and mystery series Desperate Housewives.,,NEI
Peter Capaldi won an award in 2010.,"His next most notable role is spin doctor Malcolm Tucker in The Thick of It , for which he has received four British Academy Television Award nominations , winning Best Male Comedy Performance in 2010 . spin doctor spin doctor Malcolm Tucker Malcolm Tucker The Thick of It The Thick of It British Academy Television Award British Academy Television Award Best Male Comedy Performance British Academy Television Award for Best Male Comedy Performance The British Academy Television Awards also known as the BAFTA Television Awards are presented in an annual award show hosted by the British Academy of Film and Television Arts -LRB- BAFTA -RRB- . British Academy of Film and Television Arts British Academy of Film and Television Arts",SUPPORTS
Born This Way discusses the self-empowerment of the indigenous community.,,NEI
"Dallol, Ethiopia does not have a published estimate for the settlement's 2005 population.",The Central Statistical Agency has not published an estimate for this settlement 's 2005 population ; it has been described as a ghost town . ghost town ghost town Central Statistical Agency Central Statistical Agency (Ethiopia),SUPPORTS
Dolly Parton starred in The Fast and the Furious.,,NEI
Legion is a film directed by Scott Pilgrim.,Legion is a 2010 American apocalyptic supernatural action horror film directed by Scott Stewart and co-written by Stewart and Peter Schink . Scott Stewart Scott Stewart (director) apocalyptic Apocalyptic and post-apocalyptic fiction supernatural Supernatural fiction action action film horror film horror film,REFUTES
Neil Young is a director and screenwriter.,"Neil Percival Young , -LRB- born November 12 , 1945 -RRB- , is a Canadian singer-songwriter , musician , producer , director and screenwriter .",SUPPORTS
Laurence Fishburne played a role in a remake.,,NEI
Grand Ole Pry was only hosted horses.,,REFUTES
Ranbir Kapoor is the co-founder of a company.,,SUPPORTS
United Kingdom is where the film Persuasion (2007 film) was premiered.,,SUPPORTS
Liberty bonds were sold in a country.,A Liberty bond -LRB- or liberty loan -RRB- was a war bond that was sold in the United States to support the allied cause in World War I. Subscribing to the bonds became a symbol of patriotic duty in the United States and introduced the idea of financial securities to many citizens for the first time . war bond war bond World War I World War I The Act of Congress which authorized the Liberty Bonds is still used today as the authority under which all U.S. Treasury bonds are issued .,SUPPORTS
Cloud Atlas premiered at a film festival.,,SUPPORTS
Lady Gaga is an American songwriter.,"Stefani Joanne Angelina Germanotta -LRB- -LSB- ˈstɛfəniː_dʒɜrməˈnɒtə -RSB- ; born March 28 , 1986 -RRB- , known professionally as Lady Gaga , is an American singer , songwriter , and actress . Joanne Joanne (album)",SUPPORTS
Bernard Madoff got the 105 year sentence.,,REFUTES
James Taylor released a 1976 Greatest Hits album in June of 1976.,"Every album that he released from 1977 to 2007 sold over a million copies . Released on November 1 , 1976 .",REFUTES
The New Adventures of Old Christine features only actors under 30.,"The New Adventures of Old Christine -LRB- often shortened to simply Old Christine -RRB- is an American television sitcom starring Julia Louis-Dreyfus as Christine Campbell , a middle-aged divorced mother who struggles to keep pace with those around her . Julia Louis-Dreyfus Julia Louis-Dreyfus sitcom sitcom Christine Campbell Christine Campbell (character) Julia Scarlett Elizabeth Louis-Dreyfus -LRB- -LSB- ˈluːi_ˈdraɪfəs -RSB- born January 13 , 1961 -RRB- is an American actress , comedian , and producer . It originally ran on CBS from March 13 , 2006 , to May 12 , 2010 . CBS CBS",REFUTES
Batman starred Adam West as a female journalist.,"Released by 20th Century Fox , the film starred Adam West as Batman and Burt Ward as Robin . Adam West Adam West Burt Ward Burt Ward 20th Century Fox 20th Century Fox Batman Batman Robin Robin (comics)",REFUTES
Gwen Stefani received an award.,"In 2003 , she debuted her clothing line L.A.M.B. and expanded her collection with the 2005 Harajuku Lovers line , drawing inspiration from Japanese culture and fashion . Japanese culture culture of Japan",SUPPORTS
Black Panther is a superhero TV show.,Black Panther is an upcoming American superhero film based on the Marvel Comics character of the same name . Black Panther Black Panther (comics) superhero film superhero film Marvel Comics Marvel Comics of the same name Black Panther (comics),REFUTES
Michelle Pfeiffer was a presenter for the Best Supporting Actress award.,,NEI
Thirteen Reasons Why takes place in a fictional world.,,NEI
Steve Buscemi refused to be in The Hudsucker Proxy.,"He is also known for his appearances in many films by the Coen brothers : Miller 's Crossing , Barton Fink , The Hudsucker Proxy , Fargo , and The Big Lebowski . the Coen brothers Coen Brothers Barton Fink Barton Fink The Hudsucker Proxy The Hudsucker Proxy Fargo Fargo (film) The Big Lebowski The Big Lebowski",REFUTES
Denial was released by a company.,"Bleecker Street , -LRB- stylized as BLΞΞCKER STRΞΞT -RRB- is a New York City-based film distribution company . New York City New York City New York New York (state) film distribution film distribution",SUPPORTS
Matt Smith's first part on TV was in the BBC adaptation of Philip Pullman's The Ruby in the Smoke.,"Since 2016 , he portrays Prince Philip , Duke of Edinburgh in Peter Morgan 's Netflix biographical drama series The Crown , opposite Claire Foy as Elizabeth II . Peter Morgan Peter Morgan Netflix Netflix The Crown The Crown (TV series) Claire Foy Claire Foy Elizabeth II Elizabeth II",SUPPORTS
Denmark's queen is Elizabeth II.,,NEI
Red stars Arnold Schwarzenegger.,,NEI
Brooks Wackerman was born in the United States.,,NEI
Margaret Brown is from Boston.,,NEI
Android was never the target of copyright litigation.,,REFUTES
Tony Blair was elected after John Smith died of cancer.,"Blair declared support for a new conception that he referred to as `` social-ism '' , involving politics that recognised individuals as socially interdependent , and advocated social justice , cohesion , the equal worth of each citizen , and equal opportunity , also referred to as the Third Way . Third Way Third Way John Smith -LRB- 13 September 1938 -- 12 May 1994 -RRB- was a British Labour Party politician who served as Leader of the Labour Party from July 1992 until his death from a heart attack in May 1994 . Leader of the Labour Party Leader of the Labour Party (UK) Labour Labour Party (UK) Labour Party Labour Party (UK) heart attack Myocardial infarction",REFUTES
Will Ferrell is considered part of the Frat Pack with Jack Black,He was also named the best comedian of 2015 in the British GQ Men of the Year awards . GQ GQ,SUPPORTS
Followers of asceticism worship worldly pleasures.,"Ascetics may withdraw from the world for their practices or continue to be part of their society , but typically adopt a frugal lifestyle , characterised by the renunciation of material possessions and physical pleasures , and time spent fasting while concentrating on the practice of religion or reflection upon spiritual matters .",REFUTES
San Francisco's Chinatown is the oldest stock exchange in North America.,,NEI
"Views had the singles ""Hotline Bling,"" ""One Dance,"" ""Pop Style,"" ""Controlla,"" and ""Too Good.""",The single spent 10 weeks at number one on the Billboard Hot 100 and 15 weeks on the UK Singles Chart . UK Singles Chart UK Singles Chart,SUPPORTS
Mitt Romney worked at an American restaurant chain headquartered in Boston.,,NEI
Krysten Ritter turned down the offer to appear on the show Gilmore Girls.,"She has also appeared in roles in the television series Gilmore Girls , Gossip Girl , Gravity , 'Til Death , Veronica Mars , and The Blacklist . Veronica Mars Veronica Mars Gilmore Girls Gilmore Girls Gossip Girl Gossip Girl Gravity Gravity (TV series) The Blacklist The Blacklist (TV series)",REFUTES
The Evil Queen appears in a television series.,,NEI
Apple Inc. is the world's largest information technology company by turnover rate.,,NEI
Avengers: Age of Ultron was released in the Americas.,,SUPPORTS
Tony Bill has yet to produce a movie.,"He produced the 1973 movie The Sting , for which he shared the Academy Award for Best Picture with Michael Phillips and Julia Phillips . The Sting The Sting Academy Award for Best Picture Academy Award for Best Picture Michael Phillips Michael Phillips (producer) Julia Phillips Julia Phillips",REFUTES
Vince Vaughn appeared in a biographical sports TV series.,,NEI
"Jeff Ament released the album ""Tone"" in 1997.",,REFUTES
Buzz Aldrin is a former German spy.,"Buzz Aldrin -LRB- born Edwin Eugene Aldrin Jr. , January 20 , 1930 -RRB- is an American engineer and former astronaut . engineer engineer astronaut astronaut",REFUTES
"In September, UFC 216 will be held.","UFC 216 is an upcoming mixed martial arts event produced by the Ultimate Fighting Championship that will be held on September 9 , 2017 at Rogers Place in Edmonton , Alberta . Ultimate Fighting Championship Ultimate Fighting Championship Rogers Place Rogers Place mixed martial arts mixed martial arts",SUPPORTS
Shakira has an eighth portfolio.,,NEI
J. R. R. Tolkien created James Bond.,,NEI
1967 is Liev Schreiber's year of birth.,"Isaac Liev Schreiber -LRB- -LSB- ˈliː.ɛv -RSB- born October 4 , 1967 -RRB- , better known as Liev Schreiber , is an American actor , director , screenwriter , and producer .",SUPPORTS
Grace Jones isn't an inspiration for Lady Gaga.,,REFUTES
Brentwood is a settlement.,,NEI
NASA is watching over the development of the Orion Multi-Purpose Crew Vehicle.,"Since 2011 , NASA has been criticized for low cost efficiency , achieving little results in return for high development costs .",SUPPORTS
Heather Graham played the title character in the series Emily's Reasons Why Not.,"Noted for portraying characters with vast sex appeal , she often appears in magazine lists of `` Most Beautiful '' and `` Sexiest '' women .",SUPPORTS
Planet of the Apes was produced by Franklin Schaffner.,"It was the first in a series of five films made between 1968 and 1973 , all produced by Arthur P. Jacobs and released by 20th Century Fox . Arthur P. Jacobs Arthur P. Jacobs 20th Century Fox 20th Century Fox series of five films Planet of the Apes The film was released on February 8 , 1968 , in the United States and was a commercial success , earning a lifetime domestic gross of $ 32.6 million .",REFUTES
The Belko Experiment was not written by James Gunn.,The Belko Experiment is a 2016 American horror film directed by Greg McLean and written by James Gunn . Greg McLean Greg McLean James Gunn James Gunn horror film horror film,REFUTES
Chris Brown worked in the television industry.,,SUPPORTS
Isabella of France was unable to become queen of anything.,"Isabella of France -LRB- 1295 -- 22 August 1358 -RRB- , sometimes described as the She-Wolf of France , was Queen of England as the wife of Edward II , and regent of England from 1326 until 1330 . France France Queen of England List of English consorts wife Queen consort Edward II Edward II regent regent Queen Isabella was notable at the time for her beauty , diplomatic skills , and intelligence .",REFUTES
Karan Johar won an award from his 2010 movie My Name Is Khan.,,SUPPORTS
Muhammad sent a few followers to Abyssinia.,"`` Sign -LSB- of God -RSB- '' -RRB- , which Muhammad reported receiving until his death , form the verses of the Quran , regarded by Muslims as the `` Word of God '' and around which the religion is based . God God in Islam Quran Quran",SUPPORTS
Journey has sold 48 million albums in Austria.,Journey ranks No. 96 on VH1 's 100 Greatest Artists of All Time .,REFUTES
Vladimir Putin studied German in college.,,NEI
Dungeons & Dragons was first published in 1987.,"Dungeons & Dragons -LRB- abbreviated as D&D or DnD -RRB- is a fantasy tabletop role-playing game -LRB- RPG -RRB- originally designed by Gary Gygax and Dave Arneson , and first published in 1974 by Tactical Studies Rules , Inc. -LRB- TSR -RRB- . Gary Gygax Gary Gygax Dave Arneson Dave Arneson TSR TSR (company) fantasy fantasy tabletop role-playing game tabletop role-playing game Dungeons & Dragons Editions of Dungeons & Dragons#Dungeons & Dragons, or the Basic Set and its sequels",SUPPORTS
Dwyane Wade is a Protestant.,,NEI
Moses Malone had a dispute with a free agent of the Atlanta Hawks.,,NEI
Leslie Groves directed a top secret research project.,"Lieutenant General Leslie Richard Groves Jr. -LRB- 17 August 1896 -- 13 July 1970 -RRB- was a United States Army Corps of Engineers officer who oversaw the construction of the Pentagon and directed the Manhattan Project , a top secret research project that developed the atomic bomb during World War II . United States Army United States Army Lieutenant General Lieutenant General (United States) Manhattan Project Manhattan Project World War II World War II United States Army Corps of Engineers United States Army Corps of Engineers officer Officer (armed forces) the Pentagon the Pentagon atomic bomb atomic bomb",SUPPORTS
Adele has a Gold album.,,NEI
Lana Del Rey released Summertime Sadness.,"In 2014 , Del Rey released her third studio album , Ultraviolence ; it became her first number-one album in the United States . Ultraviolence Ultraviolence (album) `` Summertime Sadness '' is a song by American singer and songwriter Lana Del Rey from her second studio album , Born to Die . Lana Del Rey Lana Del Rey Born to Die Born to Die (Lana Del Rey album) studio album studio album",SUPPORTS
"Diana Rigg was born on July 20th, 1938.","Dame Enid Diana Elizabeth Rigg , DBE -LRB- born 20 July 1938 -RRB- is an English actress . DBE Order of the British Empire Diana Diana (US TV series) Dame Order of the British Empire",SUPPORTS
Delhi is not in India.,"Delhi -LRB- -LSB- ˈdɛli -RSB- , -LSB- d̪ɪlliː -RSB- Dilli -RRB- , officially the National Capital Territory of Delhi or NCT , is a city and a union territory of India . union territory union territory India India It has been captured , ransacked and rebuilt several times , particularly during the medieval period , and modern Delhi is a cluster of a number of cities spread across the metropolitan region .",REFUTES
Seinfeld was not a television show.,"Seinfeld is an American sitcom that originally ran for nine seasons on NBC , from 1989 to 1998 . NBC NBC sitcom sitcom",REFUTES
David Carradine is a name of a substance.,,NEI
Inferno does not feature multiple American actors.,"It stars Tom Hanks , reprising his role as Robert Langdon , alongside Felicity Jones , Omar Sy , Sidse Babett Knudsen , Ben Foster and Irrfan Khan . Tom Hanks Tom Hanks Felicity Jones Felicity Jones Ben Foster Ben Foster Sidse Babett Knudsen Sidse Babett Knudsen Omar Sy Omar Sy Irrfan Khan Irrfan Khan Robert Langdon Robert Langdon Benjamin A. `` Ben '' Foster -LRB- born October 29 , 1980 -RRB- is an American actor . Thomas Jeffrey Hanks -LRB- born July 9 , 1956 -RRB- is an American actor and filmmaker .",REFUTES
Indiana Jones has been acted by River Phoenix.,"The character is distinguished by his appearance -LRB- bullwhip , fedora , satchel and leather jacket -RRB- , sense of humor , deep knowledge of many ancient civilizations and languages , and fear of snakes . bullwhip bullwhip fedora fedora satchel satchel leather jacket leather jacket fear of snakes ophidiophobia",SUPPORTS
The Philadelphia Museum of Art contains zero holdings of European origin.,"The museum administers collections containing over 240,000 objects including major holdings of European , American and Asian origin .",REFUTES
